Topic,Count,Keywords,Top_Keywords
19,22,"出现, 大暴雨, 暴雨, 夜间, 预警, 发布, 洪水, 注意, 山区, 积水","[('出现', 0.4591791294485935), ('大暴雨', 0.2755074776691561), ('暴雨', 0.2755074776691561), ('夜间', 0.2337639204465567), ('预警', 0.20036907466847717), ('发布', 0.1920203632239573), ('洪水', 0.1836716517794374), ('注意', 0.15862551744587775), ('山区', 0.15027680600135787), ('积水', 0.15027680600135787)]"
1,59,"暴雨, 大暴雨, 出现, 北京, 发布, 预警, 夜间, 防范, 南部, 山区","[('暴雨', 0.36642271310938557), ('大暴雨', 0.36284785737173303), ('出现', 0.36284785737173303), ('北京', 0.21270391639032626), ('发布', 0.20912906065267373), ('预警', 0.19304220983323728), ('夜间', 0.18231764262027966), ('防范', 0.18231764262027966), ('南部', 0.1805302147514534), ('山区', 0.1805302147514534)]"
11,22,"食物, 风险, 不吃, 互相, 伤口处, 具有, 出门, 北京, 台风, 天津","[('食物', 0.17675957710657755), ('风险', 0.17675957710657755), ('不吃', 0.17675957710657755), ('互相', 0.17675957710657755), ('伤口处', 0.17675957710657755), ('具有', 0.17675957710657755), ('出门', 0.17675957710657755), ('北京', 0.17675957710657755), ('台风', 0.17675957710657755), ('天津', 0.17675957710657755)]"
5,19,"水库, 石家庄市, 河北省, 洪水, 汛期, 降水, 黄壁庄, 库容, 石家庄, 岗南","[('水库', 0.4749952170861307), ('石家庄市', 0.29291371720311393), ('河北省', 0.2533307824459364), ('洪水', 0.2058312607373233), ('汛期', 0.18208149988301678), ('降水', 0.16624832598014574), ('黄壁庄', 0.16624832598014574), ('库容', 0.16624832598014574), ('石家庄', 0.1504151520772747), ('岗南', 0.1266653912229682)]"
24,20,"人员, 及时, 停止, 大暴雨, 措施, 防汛, 转移, 威胁, 游客, 全部","[('人员', 0.2661588615952375), ('及时', 0.21625407504613045), ('停止', 0.21070909876289634), ('大暴雨', 0.18298421734672576), ('措施', 0.17743924106349165), ('防汛', 0.1746667529218746), ('转移', 0.16080431221378932), ('威胁', 0.15803182407217226), ('游客', 0.15803182407217226), ('全部', 0.15525933593055521)]"
8,12,"洪水, 中国, 消防, 平安, 强降雨, 影响, 成功, 持续性, 救援, 前行","[('洪水', 0.20109221564058222), ('中国', 0.20109221564058222), ('消防', 0.18433453100386704), ('平安', 0.18433453100386704), ('强降雨', 0.18433453100386704), ('影响', 0.18433453100386704), ('成功', 0.18433453100386704), ('持续性', 0.18433453100386704), ('救援', 0.18433453100386704), ('前行', 0.18433453100386704)]"
21,18,"预警, 防汛, 响应, 红色, 地区, 及时, 市民, 措施, 停止, 安全","[('预警', 0.3497160524022831), ('防汛', 0.29431548964548576), ('响应', 0.2631526730947873), ('红色', 0.18697689930419095), ('地区', 0.17832056137344138), ('及时', 0.16447042068424203), ('市民', 0.1298450689612437), ('措施', 0.12638253378894387), ('停止', 0.12465126620279397), ('安全', 0.12465126620279397)]"
6,19,"台风, 保险, 北京, 部分, 强度, 受伤, 杜苏, 杜苏芮, 人身, 泉州","[('台风', 0.5033031840244484), ('保险', 0.2943848812218472), ('北京', 0.1899257298205466), ('部分', 0.12345172438335528), ('强度', 0.10445915140130062), ('受伤', 0.10445915140130062), ('杜苏', 0.10445915140130062), ('杜苏芮', 0.10445915140130062), ('人身', 0.10445915140130062), ('泉州', 0.10445915140130062)]"
26,16,"洪水, 预警, 海河, 流域, 发布, 黄色, 继续, 北运河, 天津市, 安全","[('洪水', 0.3910548619629217), ('预警', 0.3832337647236633), ('海河', 0.3675915702451464), ('流域', 0.3284860840488542), ('发布', 0.2737384033740452), ('黄色', 0.2580962088955283), ('继续', 0.1642430420244271), ('北运河', 0.1564219447851687), ('天津市', 0.1173164585888765), ('安全', 0.10949536134961807)]"
0,12,"流域, 海河, 子牙河, 大清河, 大暴雨, 大到暴雨, 地区, 永定河, 河北, 洪水","[('流域', 0.28435628642452937), ('海河', 0.28435628642452937), ('子牙河', 0.18957085761635292), ('大清河', 0.18957085761635292), ('大暴雨', 0.18957085761635292), ('大到暴雨', 0.18957085761635292), ('地区', 0.18957085761635292), ('永定河', 0.18957085761635292), ('河北', 0.18957085761635292), ('洪水', 0.18957085761635292)]"
17,12,"被困, 下午, 男子, 武安, 河北, 邯郸, 救援队, 集结, 成功, 营救","[('被困', 0.3378271810849005), ('下午', 0.3378271810849005), ('男子', 0.3096749159944921), ('武安', 0.1970658556328586), ('河北', 0.1970658556328586), ('邯郸', 0.18298972308765443), ('救援队', 0.18298972308765443), ('集结', 0.16891359054245025), ('成功', 0.16891359054245025), ('营救', 0.16891359054245025)]"
